"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"161200","6652","0500000US01001","Autauga County, Alabama"
"211600","5853","0500000US01003","Baldwin County, Alabama"
"86500","9981","0500000US01005","Barbour County, Alabama"
"96400","13625","0500000US01007","Bibb County, Alabama"
"135300","5396","0500000US01009","Blount County, Alabama"
"74800","11769","0500000US01011","Bullock County, Alabama"
"98100","8921","0500000US01013","Butler County, Alabama"
"121600","4670","0500000US01015","Calhoun County, Alabama"
"103800","7094","0500000US01017","Chambers County, Alabama"
"138500","11363","0500000US01019","Cherokee County, Alabama"
"104500","9213","0500000US01021","Chilton County, Alabama"
"75900","4592","0500000US01023","Choctaw County, Alabama"
"106600","12657","0500000US01025","Clarke County, Alabama"
"116100","10248","0500000US01027","Clay County, Alabama"
"118700","9029","0500000US01029","Cleburne County, Alabama"
"153700","4585","0500000US01031","Coffee County, Alabama"
"125400","6594","0500000US01033","Colbert County, Alabama"
"83900","5267","0500000US01035","Conecuh County, Alabama"
"89200","7698","0500000US01037","Coosa County, Alabama"
"99600","4536","0500000US01039","Covington County, Alabama"
"84400","5005","0500000US01041","Crenshaw County, Alabama"
"135200","6412","0500000US01043","Cullman County, Alabama"
"113800","6288","0500000US01045","Dale County, Alabama"
"84100","5668","0500000US01047","Dallas County, Alabama"
"113600","6285","0500000US01049","DeKalb County, Alabama"
"171100","5942","0500000US01051","Elmore County, Alabama"
"100800","6470","0500000US01053","Escambia County, Alabama"
"124400","5049","0500000US01055","Etowah County, Alabama"
"92400","11757","0500000US01057","Fayette County, Alabama"
"103000","8292","0500000US01059","Franklin County, Alabama"
"108400","6965","0500000US01061","Geneva County, Alabama"
"76200","19238","0500000US01063","Greene County, Alabama"
"91500","17078","0500000US01065","Hale County, Alabama"
"119000","7884","0500000US01067","Henry County, Alabama"
"141800","3348","0500000US01069","Houston County, Alabama"
"107900","5415","0500000US01071","Jackson County, Alabama"
"165000","2569","0500000US01073","Jefferson County, Alabama"
"95400","17370","0500000US01075","Lamar County, Alabama"
"149500","5992","0500000US01077","Lauderdale County, Alabama"
"113800","10587","0500000US01079","Lawrence County, Alabama"
"173700","5946","0500000US01081","Lee County, Alabama"
"167800","6283","0500000US01083","Limestone County, Alabama"
"66500","5791","0500000US01085","Lowndes County, Alabama"
"82400","3220","0500000US01087","Macon County, Alabama"
"190200","3539","0500000US01089","Madison County, Alabama"
"82200","10226","0500000US01091","Marengo County, Alabama"
"87700","5309","0500000US01093","Marion County, Alabama"
"141300","5822","0500000US01095","Marshall County, Alabama"
"138400","2156","0500000US01097","Mobile County, Alabama"
"100900","17732","0500000US01099","Monroe County, Alabama"
"130000","3336","0500000US01101","Montgomery County, Alabama"
"143900","4735","0500000US01103","Morgan County, Alabama"
"80100","29168","0500000US01105","Perry County, Alabama"
"100000","10729","0500000US01107","Pickens County, Alabama"
"131600","13801","0500000US01109","Pike County, Alabama"
"119500","12644","0500000US01111","Randolph County, Alabama"
"126300","6962","0500000US01113","Russell County, Alabama"
"165900","4300","0500000US01115","St. Clair County, Alabama"
"220700","3894","0500000US01117","Shelby County, Alabama"
"67300","10351","0500000US01119","Sumter County, Alabama"
"112300","5678","0500000US01121","Talladega County, Alabama"
"108300","6417","0500000US01123","Tallapoosa County, Alabama"
"179000","4275","0500000US01125","Tuscaloosa County, Alabama"
"109600","7303","0500000US01127","Walker County, Alabama"
"88100","8782","0500000US01129","Washington County, Alabama"
"67200","15701","0500000US01131","Wilcox County, Alabama"
"87300","8860","0500000US01133","Winston County, Alabama"
"136700","26580","0500000US02013","Aleutians East Borough, Alaska"
"316700","61170","0500000US02016","Aleutians West Census Area, Alaska"
"320100","4445","0500000US02020","Anchorage Municipality, Alaska"
"88700","7341","0500000US02050","Bethel Census Area, Alaska"
"222200","31972","0500000US02060","Bristol Bay Borough, Alaska"
"234300","49496","0500000US02063","Chugach Census Area, Alaska"
"234500","11845","0500000US02066","Copper River Census Area, Alaska"
"233700","27926","0500000US02068","Denali Borough, Alaska"
"156000","28348","0500000US02070","Dillingham Census Area, Alaska"
"240300","5827","0500000US02090","Fairbanks North Star Borough, Alaska"
"263900","41626","0500000US02100","Haines Borough, Alaska"
"221600","18104","0500000US02105","Hoonah-Angoon Census Area, Alaska"
"355100","11524","0500000US02110","Juneau City and Borough, Alaska"
"245400","5631","0500000US02122","Kenai Peninsula Borough, Alaska"
"299500","12386","0500000US02130","Ketchikan Gateway Borough, Alaska"
"295100","22848","0500000US02150","Kodiak Island Borough, Alaska"
